"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.portable-fire-pumps.com/en/","text/html; charset=UTF-8","200","OK","Indexable","","Portable Fire Pumps | Shibaura by Kojex","39","357","Exclusive North American distributor for Shibaura portable fire pumps with product guidance, resources, and support.","116","725","","0","High-Performance Portable Fire Pumps","36","Trusted Portable Fire Pumps","27","Portable Fire Pumps","19","index, follow","","","https://www.portable-fire-pumps.com/en/","","","","","","50096","9991","9991","3.827","","236","45","5.244","36.972","Hard","4.723","1","1","","121","18","0","52.940","56","18","0","4","4","0","","","","","8b394151bacd6e9c70bea2231306911f","0.508","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/","2026-03-24 13:26:30"
"https://www.portable-fire-pumps.com/en/products//ff500ar-a","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","2","","1","1","0","2.940","0","0","0","0","0","0","","","","","","0.459","","https://www.portable-fire-pumps.com/en/products/ff500ar-a/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/products//ff500ar-a","2026-03-24 13:26:31"
"https://www.portable-fire-pumps.com/en/products//ft510-a","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","2","","1","1","0","2.940","0","0","0","0","0","0","","","","","","0.723","","https://www.portable-fire-pumps.com/en/products/ft510-a/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/products//ft510-a","2026-03-24 13:26:31"
"https://www.portable-fire-pumps.com/en/resources/","text/html; charset=UTF-8","200","OK","Indexable","","Resources | Portable Fire Pumps","31","291","Access Shibaura product catalogs, operation manuals, parts lists, and storage guidance in one place.","100","623","","0","Documents and Parts Lists","25","Browse Available Resources","26","Product Catalogs","16","index, follow","","","https://www.portable-fire-pumps.com/en/resources/","","","","","","104892","13487","13487","5.167","","418","153","2.732","79.388","Fairly Easy","3.195","2","2","","126","18","0","52.940","68","27","0","4","4","0","","","","","9f4e31689f6a501b971fa1d35541e7fd","0.749","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/resources/","2026-03-24 13:26:32"
"https://www.portable-fire-pumps.com/en/long-distance-relay-pumping/","text/html; charset=UTF-8","200","OK","Indexable","","Long-Distance Relay Pumping | Portable Fire Pumps","49","464","Learn how relay pumping supports long-distance water delivery and which portable fire pumps fit sustained relay operations.","123","770","","0","Long-Distance Relay Pumping","27","When relay pumping matters","26","Models worth reviewing for relay pumping","40","index, follow","","","https://www.portable-fire-pumps.com/en/long-distance-relay-pumping/","","","","","","42043","8990","8990","3.444","","241","37","6.514","51.735","Fairly Hard","5.412","2","2","","29","18","0","52.940","43","15","0","4","4","0","","","","","6cb1657f79bd37946937f07f97de2ff9","0.667","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/long-distance-relay-pumping/","2026-03-24 13:26:32"
"https://www.portable-fire-pumps.com/en/features/","text/html; charset=UTF-8","200","OK","Indexable","","Features | Portable Fire Pumps","30","277","Discover Auto Relay operation and core engineering features that support reliable portable fire pump performance.","113","705","","0","Fire Pump Features","18","Long-Distance Water Delivery","28","Auto Relay System","17","index, follow","","","https://www.portable-fire-pumps.com/en/features/","","","","","","52179","11147","11147","4.270","","634","98","6.469","28.934","Very Hard","10.222","2","2","","90","18","0","52.940","42","12","0","4","4","0","","","","","85e16bc09b07c32a8e614f3cc137d4f9","0.658","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/features/","2026-03-24 13:26:32"
"https://www.portable-fire-pumps.com/en/contact-us/","text/html; charset=UTF-8","200","OK","Indexable","","Contact | Portable Fire Pumps","29","268","Contact Kojex International for portable fire pump quotes, distributor inquiries, and technical support.","104","625","","0","Contact Us","10","Contact Information","19","Organization Information","24","index, follow","","","https://www.portable-fire-pumps.com/en/contact-us/","","","","","","74490","14409","14409","5.520","","212","66","3.212","65.102","Normal","3.080","2","2","","40","18","0","52.940","38","12","0","4","4","0","","","","","258b66466b616286d4a620d18f7a2779","0.641","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/contact-us/","2026-03-24 13:26:33"
"https://www.portable-fire-pumps.com/en/products/air-cooled/","text/html; charset=UTF-8","200","OK","Indexable","","Air-Cooled Pumps | Portable Fire Pumps","38","359","Explore air-cooled Shibaura portable fire pumps built for lightweight rapid deployment and dependable field performance.","120","745","","0","Built for Variable Water Conditions","35","FT510-A","7","FT300 / 400-A","13","index, follow","","","https://www.portable-fire-pumps.com/en/products/air-cooled/","","","","","","94460","12936","12936","4.956","","410","127","3.228","62.008","Normal","3.769","2","3","","27","18","0","52.940","49","15","0","4","4","0","","","","","f606ecee96c52294d6f3a44e5d54289c","0.456","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/air-cooled/","2026-03-24 13:26:33"
"https://www.portable-fire-pumps.com/en/products//tf516mh-ab","text/html","301","Moved Permanently","Non-Indexable","Redirected","","0","0","","0","0","","0","","0","","0","","0","","","","","","","","","","98","98","98","0.038","","0","","","","","0.000","2","2","","1","1","0","2.940","0","0","0","0","0","0","","","","","","0.617","","https://www.portable-fire-pumps.com/en/products/tf516mh-ab/","HTTP Redirect","","","1.1","","","","","","https://www.portable-fire-pumps.com/en/products//tf516mh-ab","2026-03-24 13:26:33"
"https://www.portable-fire-pumps.com/en/products/water-cooled/","text/html; charset=UTF-8","200","OK","Indexable","","Water-Cooled Pumps | Portable Fire Pumps","40","388","Explore water-cooled Shibaura portable fire pumps designed for sustained high-output firefighting operations.","109","678","","0","Built for Sustained Operation","29","P572S-A","7","FK500-A","7","index, follow","","","https://www.portable-fire-pumps.com/en/products/water-cooled/","","","","","","96369","13172","13172","5.046","","437","124","3.524","44.318","Hard","3.978","2","3","","31","18","0","52.940","49","15","0","4","4","0","","","","","ed119f6e6affc3b4698b11221c23bb4a","0.431","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/water-cooled/","2026-03-24 13:26:33"
