"Address","Content Type","Status Code","Status","Indexability","Indexability Status","Title 1","Title 1 Length","Title 1 Pixel Width","Meta Description 1","Meta Description 1 Length","Meta Description 1 Pixel Width","Meta Keywords 1","Meta Keywords 1 Length","H1-1","H1-1 Length","H2-1","H2-1 Length","H2-2","H2-2 Length","Meta Robots 1","X-Robots-Tag 1","Meta Refresh 1","Canonical Link Element 1","rel=""next"" 1","rel=""prev"" 1","HTTP rel=""next"" 1","HTTP rel=""prev"" 1","amphtml Link Element","Size (bytes)","Transferred (bytes)","Total Transferred (bytes)","CO2 (mg)","Carbon Rating","Word Count","Sentence Count","Average Words Per Sentence","Flesch Reading Ease Score","Readability","Text Ratio","Crawl Depth","Folder Depth","Link Score","Inlinks","Unique Inlinks","Unique JS Inlinks","% of Total","Outlinks","Unique Outlinks","Unique JS Outlinks","External Outlinks","Unique External Outlinks","Unique External JS Outlinks","Closest Near Duplicate Match","No. Near Duplicates","Spelling Errors","Grammar Errors","Hash","Response Time","Last Modified","Redirect URL","Redirect Type","Cookies","Language","HTTP Version","Mobile Alternate Link","Closest Semantically Similar Address","Semantic Similarity Score","No. Semantically Similar","Semantic Relevance Score","URL Encoded Address","Crawl Timestamp"
"https://www.portable-fire-pumps.com/en/","text/html; charset=UTF-8","200","OK","Indexable","","Portable Fire Pumps | Shibaura by Kojex","39","357","Exclusive North American distributor for Shibaura portable fire pumps with product guidance, resources, and support.","116","725","","0","High-Performance Portable Fire Pumps","36","Trusted Portable Fire Pumps","27","Portable Fire Pumps","19","index, follow","","","https://www.portable-fire-pumps.com/en/","","","","","","50097","9990","9990","3.827","","236","45","5.244","36.972","Hard","4.723","1","1","","121","18","0","52.940","56","18","0","4","4","0","","","","","6f62970b01443bace5797aa62d00bc33","0.502","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/","2026-03-24 14:06:34"
"https://www.portable-fire-pumps.com/en/products/tf516mh-ab/","text/html; charset=UTF-8","200","OK","Indexable","","TF516MH-AB Portable Fire Pump | Shibaura | Kojex","48","455","The smallest pump in its class, offering superior mobility. Smallest-in-class pump for rapid deployment and easy vehicle mounting.","130","798","","0","TF516MH-AB","10","TF516MH-AB Pump Operation","25","Technical Specifications","24","index, follow","","","https://www.portable-fire-pumps.com/en/products/tf516mh-ab/","","","","","","64599","12252","12252","4.694","","407","155","2.626","100.000","Very Easy","4.720","2","3","","16","11","0","32.350","45","17","0","4","4","0","","","","","2eb095c945f5cf453d37dda1372d68bb","0.640","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/tf516mh-ab/","2026-03-24 14:06:36"
"https://www.portable-fire-pumps.com/en/resources/","text/html; charset=UTF-8","200","OK","Indexable","","Resources | Portable Fire Pumps","31","291","Access Shibaura product catalogs, operation manuals, parts lists, and storage guidance in one place.","100","623","","0","Documents and Parts Lists","25","Browse Available Resources","26","Product Catalogs","16","index, follow","","","https://www.portable-fire-pumps.com/en/resources/","","","","","","104892","13552","13552","5.192","","418","153","2.732","79.388","Fairly Easy","3.195","2","2","","126","18","0","52.940","68","27","0","4","4","0","","","","","38b775ee761f59b3687d099dc7a716a","1.200","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/resources/","2026-03-24 14:06:35"
"https://www.portable-fire-pumps.com/en/long-distance-relay-pumping/","text/html; charset=UTF-8","200","OK","Indexable","","Long-Distance Relay Pumping | Portable Fire Pumps","49","464","Learn how relay pumping supports long-distance water delivery and which portable fire pumps fit sustained relay operations.","123","770","","0","Long-Distance Relay Pumping","27","When relay pumping matters","26","Models worth reviewing for relay pumping","40","index, follow","","","https://www.portable-fire-pumps.com/en/long-distance-relay-pumping/","","","","","","42043","9050","9050","3.467","","241","37","6.514","51.735","Fairly Hard","5.412","2","2","","29","18","0","52.940","43","15","0","4","4","0","","","","","446486b98154186b9dbf9a275fcb43ce","0.646","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/long-distance-relay-pumping/","2026-03-24 14:06:36"
"https://www.portable-fire-pumps.com/en/features/","text/html; charset=UTF-8","200","OK","Indexable","","Features | Portable Fire Pumps","30","277","Discover Auto Relay operation and core engineering features that support reliable portable fire pump performance.","113","705","","0","Fire Pump Features","18","Long-Distance Water Delivery","28","Auto Relay System","17","index, follow","","","https://www.portable-fire-pumps.com/en/features/","","","","","","52179","11137","11137","4.266","","634","98","6.469","28.934","Very Hard","10.222","2","2","","90","18","0","52.940","42","12","0","4","4","0","","","","","57a74f0df0a9d1cb41c22d968a3f829c","0.395","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/features/","2026-03-24 14:06:36"
"https://www.portable-fire-pumps.com/en/products/ft510-a/","text/html; charset=UTF-8","200","OK","Indexable","","FT510-A Portable Fire Pump | Shibaura | Kojex","45","412","Strong power with Shibaura's original air-cooled engine. Big-bore air-cooled performance with fast starting and quick valve control for demanding field use.","156","952","","0","FT510-A","7","FT510-A Pump Operation","22","Technical Specifications","24","index, follow","","","https://www.portable-fire-pumps.com/en/products/ft510-a/","","","","","","67572","12626","12626","4.837","","470","167","2.814","98.498","Very Easy","5.069","2","3","","16","11","0","32.350","45","17","0","4","4","0","","","","","c73f9b8db28f476317644ac4a78dfbe","0.891","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/ft510-a/","2026-03-24 14:06:36"
"https://www.portable-fire-pumps.com/en/products/fk500-a/","text/html; charset=UTF-8","200","OK","Indexable","","FK500-A Portable Fire Pump | Shibaura | Kojex","45","413","Durable, well-balanced performance. Balanced, durable pump engineered for long service life in harsh conditions.","112","693","","0","FK500-A","7","FK500-A Pump Operation","22","Technical Specifications","24","index, follow","","","https://www.portable-fire-pumps.com/en/products/fk500-a/","","","","","","68335","12752","12752","4.885","","456","170","2.682","100.000","Very Easy","4.887","2","3","","11","6","0","17.650","45","17","0","4","4","0","","","","","4c421839e0c6ff093dbd0ec6b92d0c87","0.432","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/fk500-a/","2026-03-24 14:06:37"
"https://www.portable-fire-pumps.com/en/contact-us/","text/html; charset=UTF-8","200","OK","Indexable","","Contact | Portable Fire Pumps","29","268","Contact Kojex International for portable fire pump quotes, distributor inquiries, and technical support.","104","625","","0","Contact Us","10","Contact Information","19","Organization Information","24","index, follow","","","https://www.portable-fire-pumps.com/en/contact-us/","","","","","","74490","14404","14404","5.518","","212","66","3.212","65.102","Normal","3.080","2","2","","40","18","0","52.940","38","12","0","4","4","0","","","","","11fe3e7fa68dd8afb65b87406111b03d","0.738","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/contact-us/","2026-03-24 14:06:37"
"https://www.portable-fire-pumps.com/en/products/air-cooled/","text/html; charset=UTF-8","200","OK","Indexable","","Air-Cooled Pumps | Portable Fire Pumps","38","359","Explore air-cooled Shibaura portable fire pumps built for lightweight rapid deployment and dependable field performance.","120","745","","0","Built for Variable Water Conditions","35","FT510-A","7","FT300 / 400-A","13","index, follow","","","https://www.portable-fire-pumps.com/en/products/air-cooled/","","","","","","94460","12931","12931","4.954","","410","127","3.228","62.008","Normal","3.769","2","3","","27","18","0","52.940","49","15","0","4","4","0","","","","","13a7ffdb5c9f804d68395f789c7cce19","0.491","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/air-cooled/","2026-03-24 14:06:37"
"https://www.portable-fire-pumps.com/en/products/p572s-a/","text/html; charset=UTF-8","200","OK","Indexable","","P572S-A Portable Fire Pump | Shibaura | Kojex","45","414","Highest discharge performance of our lineup. High-output fire pump built for demanding operations and rapid priming.","116","729","","0","P572S-A","7","P572S-A Pump Operation","22","Technical Specifications","24","index, follow","","","https://www.portable-fire-pumps.com/en/products/p572s-a/","","","","","","67860","12818","12818","4.910","","469","168","2.792","98.838","Very Easy","5.043","2","3","","14","9","0","26.470","45","17","0","4","4","0","","","","","43752501c514b906c22143634fe7fb5f","0.460","","","","","en","1.1","","","","","","https://www.portable-fire-pumps.com/en/products/p572s-a/","2026-03-24 14:06:37"
